sh4;cnae_prefix;nota
8305;2543;Capas de pasta
8306;2543;Sininhos
8307;2543;Flexíveis de metal
8308;2543;Fivelas
8309;2543;Capsulas de garrafa
8310;2543;Placas de identificação
8311;2543;Fios de metal para soldar
8401;2822;Reatores nucleares
8402;2822;Caldeiras a vapor
8403;2822;Caldeiras centrais
8404;2822;Aparelhos auxiliares caldeiras
8405;2822;Geradores de gás
8406;2822;Turbinas a vapor
8407;2824;Motores de pistão ignição
8408;2824;Motores diesel
8409;2824;Partes de motores
8410;2824;Turbinas hidráulicas
8411;2824;Turbinas a gás
8412;2824;Outros motores
8413;2824;Bombas para líquidos
8414;2824;Bombas de ar
8415;2824;Ar condicionado
8416;2824;Trocadores de calor
8417;2824;Fornos industriais
8418;2824;Refrigeradores domésticos
8419;2824;Aparelhos de aquecimento
8420;2824;Calandras
8421;2824;Centrifugadoras
8422;2824;Máquinas lavar louça
8423;2824;Aparelhos de pesagem
8424;2824;Bicos pulverizadores
8425;2824;Guinchos
8426;2824;Guindastes
8427;2824;Empilhadeiras
8428;2824;Outros elevadores
8429;2824;Bulldozers
8430;2824;Outras máquinas terraplenagem
8431;2824;Partes de máquinas 84
8432;2824;Tratores agrícolas
8433;2824;Máquinas colheita
8434;2824;Ordenhadeiras
8435;2824;Máquinas prensar
8436;2824;Máquinas agrícolas diversas
8437;2824;Máquinas limpeza sementes
8438;2824;Máquinas industrial alimentícia
8439;2824;Máquinas fabricar papel
8440;2824;Máquinas fundição
8441;2824;Máquinas embalagem
8442;2824;Máquinas impressão
8443;2824;Máquinas impressão offset
8444;2824;Máquinas têxteis
8445;2824;Máquinas tecelagem
8446;2824;Máquinas tricô
8447;2824;Máquinas costura
8448;2824;Partes máquinas têxteis
8449;2824;Máquinas feltro
8450;2824;Máquinas lavar roupa
8451;2824;Máquinas lavar industrial
8452;2824;Máquinas costura doméstica
8453;2824;Máquinas soldar elétrica
8454;2824;Fornos indução
8455;2824;Laminadores de metal
8456;2824;Máquinas-ferramenta
8457;2824;Centros de usinagem
8458;2824;Tornos
8459;2824;Máquinas furar
8460;2824;Retificadoras
8461;2824;Máquinas brochamento
8462;2824;Máquinas conformar
8463;2824;Partes máquinas-ferramenta
8464;2824;Ferramentas de torno
8465;2824;Ferramentas pneumáticas
8466;2824;Partes para máquinas
8467;2824;Ferramentas elétricas manuais
8468;2824;Maquinaria para soldar
8470;2824;Calculadoras
8471;2622;Máquinas automáticas processamento dados
8472;2622;Máquinas copiadoras
8473;2622;Partes de máquinas informática
8474;2824;Máquinas seleção industrial
8475;2824;Máquinas montagem tubos
8476;2824;Máquinas automáticas venda
8477;2824;Máquinas misturar betão
8478;2824;Máquinas preparar tabaco
8479;2824;Máquinas diversas com função própria
8480;2824;Caixas de fundição
8481;2824;Válvulas e torneiras
8482;2824;Rolamentos
8483;2824;Árvores de transmissão
8484;2824;Juntas metálicas
8485;2824;Placas de montagem
8486;2824;Máquinas nuclear
8487;2824;Partes de máquinas diversas
8501;2710;Motores elétricos
8502;2710;Geradores elétricos
8503;2710;Partes de motores elétricos
8504;2710;Transformadores
8505;2710;Eletroímãs
8506;2710;Pilhas primárias
8507;2710;Acumuladores elétricos
8508;2710;Aspiradores
8509;2710;Aparelhos eletrodomésticos pequenos
8510;2710;Aparelhos barbear
8511;2710;Ignição veículos
8512;2710;Aparelhos elétricos veículos
8513;2710;Lâmpadas portáteis
8514;2710;Fornos industrial resistência
8515;2710;Solda elétrica
8516;2710;Aquecedores água elétricos
8517;2731;Telefones e comunicação
8518;2731;Microfones e alto-falantes
8519;2731;Aparelhos som
8520;2731;Gravadores magnéticos
8521;2731;Aparelhos vídeo
8522;2731;Partes de áudio/vídeo
8523;2731;Mídias gravadas
8524;2731;Aparelhos gravação plana
8525;2731;Aparelhos transmissão rádio/TV
8526;2731;Aparelhos radar
8527;2731;Aparelhos recepção rádio/TV
8528;2731;Monitores e TVs
8529;2731;Partes de aparelhos 85
8530;2732;Aparelhos elétricos sinalização ferroviária
8531;2732;Aparelhos elétricos sinalização trânsito
8532;2732;Capacitadores
8533;2732;Resistências elétricas
8534;2732;Circuitos impressos
8535;2732;Aparelhos interruptores >1000V
8536;2732;Aparelhos interruptores <1000V
8537;2732;Quadros de distribuição
8538;2732;Partes de aparelhos 8535-37
8539;2732;Lâmpadas e tubos
8540;2732;Tubos catódicos
8541;2732;Diodos e semicondutores
8542;2732;Circuitos integrados
8543;2732;Aparelhos elétricos isolantes
8544;2732;Fios e cabos isolados
8545;2732;Eletrodos de carbono
8546;2732;Fibras de carbono elétrico
8547;2732;Isoladores elétricos
8548;2732;Desperdício elétrico
8549;2732;Aparelhos elétricos diversos
8601;3031;Locomotivas ferroviárias
8602;3031;Outros veículos ferroviários
8603;3031;Vagões ferroviários
8604;3031;Partes de locomotivas
8605;3031;Aparelhos sinalização ferroviária
8606;3031;Vagões tanque
8607;3031;Partes de vagões
8608;3031;Fixações ferroviárias
8609;3031;Contêineres especiais
8701;2910;Tratores — veículos
8702;2910;Veículos motor >10 pessoas
8703;2910;Veículos passageiros
8704;2910;Veículos carga
8705;2910;Veículos especiais
8706;2910;Chassis com motor
8707;2910;Carroçarias para veículos
8708;2930;Partes e acessórios veículos 87
8709;2910;Veículos não rodoviários
8710;3031;Tanques blindados
8711;3011;Motocicletas
8712;3011;Cadeiras de rodas
8713;3011;Carrinhos para inválidos
8714;3011;Partes de bicicletas
8715;3011;Carrinhos de bebê
8716;3011;Reboques e semi-reboques
8801;3031;Balões e dirigíveis
8802;3031;Outras aeronaves
8804;3031;Paraquedas
8805;3031;Lançadores de aeronaves
8806;3031;Asas e hélices
8807;3031;Partes de aeronaves / equip. aeroespacial (aprox.)
8808;3031;Aparelhos catapulta
8809;3031;Aparelhos simuladores voo
8901;3032;Cruzeiros e transatlânticos
8902;3032;Barcos de pesca
8903;3032;Iates e barcos recreio
8904;3032;Barcos rebocadores
8905;3032;Faróis e boias
8906;3032;Embarcações de guerra
8907;3032;Plataformas flutuantes
8908;3032;Embarcações desmontadas
9001;3250;Fibras ópticas
9002;3250;Lentes ópticas
9003;3250;Armações óculos
9004;3250;Óculos correção
9005;3250;Binóculos
9006;3250;Câmeras fotográficas
9007;3250;Projetores cinematográficos
9008;3250;Projetores imagem
9010;3250;Aparelhos laboratório químico
9011;3250;Microscópios
9012;3250;Aparelhos navegação
9013;3250;Dispositivos laser
9014;3250;Bússolas
9015;3250;Instrumentos topográficos
9016;3250;Balanças sensíveis
9017;3250;Desenhos técnicos instrumentos
9018;3250;Instrumentos médico-cirúrgicos
9019;3250;Aparelhos mecano-terapia
9020;3250;Máscaras de gás
9021;3250;Artigos ortopédicos
9022;3250;Aparelhos raio-X
9023;3250;Instrumentos física/química
9024;3250;Máquinas ensaio dureza
9025;3250;Higrômetros e termômetros
9026;3250;Instrumentos medição pressão
9027;3250;Instrumentos análise físico-química
9028;3250;Contadores de gás/água
9029;3250;Contadores revolução
9030;3250;Osciloscópios
9031;3250;Instrumentos medição elétricos
9032;3250;Instrumentos automáticos
9033;3250;Partes de instrumentos 90
9101;3250;Relógios de pulso
9102;3250;Relógios de bolso
9103;3250;Relógios despertadores
9104;3250;Relógios painel
9105;3250;Relógios diversos
9106;3250;Cronômetros
9107;3250;Interruptores relógio
9108;3250;Mecanismos de relógio
9109;3250;Mostradores relógio
9110;3250;Caixas de relógio
9111;3250;Partes de relógios
9112;3250;Quadros de relógio
9113;3250;Aparelhos artigos armamento
9114;3250;Armas de fogo
9201;3250;Instrumentos musicais cordas
9202;3250;Instrumentos musicais teclas
9203;3250;Órgãos musicais
9204;3250;Acordeões
9205;3250;Instrumentos de sopro
9206;3250;Instrumentos percussão
9207;3250;Partes de instrumentos
9208;3250;Caixas de música
9209;3250;Fios de metais para instrumentos
9301;3250;Munições
9302;3250;Armas brancas
9303;3250;Outras armas
9304;3250;Outras armas de fogo
9305;3250;Partes de armas
9306;3250;Bombas e granadas
9401;3104;Assentos móveis
9402;3104;Mobiliário médico
9403;3104;Outros móveis
9404;3104;Suportes de colchão
9405;2740;Luminárias
9406;3104;Construções pré-fabricadas
9503;3240;Brinquedos
9504;3240;Videogames
9505;3240;Artigos festa
9506;3240;Equipamentos esportes
9507;3240;Caça e pesca
9508;3240;Carrosséis
9601;3299;Marfim trabalhado
9602;3299;Pó vegetal para escova
9603;3299;Vassouras
9604;3299;Peneiras
9605;3299;Conjuntos viagem
9606;3299;Botões
9607;3299;Fechos e zíperes
9608;3299;Canetas
9609;3299;Lápis
9610;3299;Quadros ardósia
9611;3299;Carimbos
9612;3299;Fitas para máquina escrever
9613;3299;Isqueiros
9614;3299;Cachimbos
9615;3299;Pentes
9616;3299;Vaporizadores
9617;3299;Garrafas térmicas
9618;3299;Manequins
9619;3299;Absorventes e fraldas
9620;3299;Monopés e tripés
9701;3299;Quadros pintura
9702;3299;Selos postais
9703;3299;Antiguidades >100 anos
